Originals,,,,,,,,,, ,NAME (N),,,, ,PHONE (Q),,ML (T),,,RM (W),,,BUILDING (Z),,,LOCATION (AB),,FAX (AE),,,WEBSITE (AH),,,EMAIL (AK),
SOURCE,NAME,PHONE,ML,RM,BUILDING,FAX,WEBSITE,EMAIL,OVERFLOW, ,RENAME,,NAME,What to rename, ,PHONE,,1,2,,1,2,,1,2,,LOCATION,,1,2,,1,2,,1,2
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10000-044,Zoo Cincinnati,513-281-4700,,,,,http://www.cincyzoo.org/,,, ,,0,Zoo Cincinnati,, ,513-281-4700,,0,,,0,,,0,,,FALSE,,0,,,http://www.cincyzoo.org/,http://www.cincyzoo.org/,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10164-003,Yates Scholars Program (GRAD),513-556-2379,627,110,VANWORMR,513-556-0128,http://grad.uc.edu/student-life/awards/yates.html,Megan.Tischner@uc.edu,, ,,0,Yates Scholars Program (GRAD),, ,513-556-2379,,627,627,,110,110,,VANWORMR,VANWORMR,,TRUE,,513-556-0128,513-556-0128,,http://grad.uc.edu/student-life/awards/yates.html,http://grad.uc.edu/student-life/awards/yates.html,,Megan.Tischner@uc.edu,Megan.Tischner@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10166-011, Office of (AESS) - Veterans Programs and Services,513-556-6811,213,230,UNIVPAV,513-556-0959,http://www.uc.edu/aess/vps.html,vetcert@uc.edu,, ,,0, Office of (AESS) - Veterans Programs and Services,, ,513-556-6811,,213,213,,230,230,,UNIVPAV,UNIVPAV,,TRUE,,513-556-0959,513-556-0959,,http://www.uc.edu/aess/vps.html,http://www.uc.edu/aess/vps.html,,vetcert@uc.edu,vetcert@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10113-007,UGotClass (Continuing Educ),513-556-6932,93,208,VPCADMIN,513-556-0873,http://yougotclass.org/catalog.cfm/Ucincinnati,ce@uc.edu,, ,,0,UGotClass (Continuing Educ),, ,513-556-6932,,93,93,,208,208,,VPCADMIN,VPCADMIN,,TRUE,,513-556-0873,513-556-0873,,http://yougotclass.org/catalog.cfm/Ucincinnati,http://yougotclass.org/catalog.cfm/Ucincinnati,,ce@uc.edu,ce@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10169-128,Clermont Young Democrats,513-732-5221,162,18,CLERJONES,513-732-5303,,,, ,,0,Clermont Young Democrats,, ,513-732-5221,,162,162,,18,18,,CLERJONES,CLERJONES,,TRUE,,513-732-5303,513-732-5303,,0,,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10018-013, Alumni Affairs - Young Professionals,513-556-4344,24,,ALUMNICTR,513-556-3011,http://www.uc.edu/alumni/connect/groups/yp.html,alumni.association@uc.edu,, ,,0, Alumni Affairs - Young Professionals,, ,513-556-4344,,24,24,,0,,,ALUMNICTR,ALUMNICTR,,TRUE,,513-556-3011,513-556-3011,,http://www.uc.edu/alumni/connect/groups/yp.html,http://www.uc.edu/alumni/connect/groups/yp.html,,alumni.association@uc.edu,alumni.association@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10021-010,X-Ray (UHS),513-556-2564,10,3rdFl,LNDNRCTR,513-556-1337,http://www.uc.edu/uhs/clinics/services.html,,, ,,0,X-Ray (UHS),, ,513-556-2564,,10,10,,3rdFl,3rdFl,,LNDNRCTR,LNDNRCTR,,TRUE,,513-556-1337,513-556-1337,,http://www.uc.edu/uhs/clinics/services.html,http://www.uc.edu/uhs/clinics/services.html,,0,
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10004-102, Richard C. Elder (A&S) - X-Ray Crystallography,513-556-9226,172,306,CROSLEY,,http://www.artsci.uc.edu/departments/chemistry/core-facilities/x-ray-crystallography.html,Jeanette.Krause@uc.edu,, ,,0, Richard C. Elder (A&S) - X-Ray Crystallography,, ,513-556-9226,,172,172,,306,306,,CROSLEY,CROSLEY,,TRUE,,0,,,http://www.artsci.uc.edu/departments/chemistry/core-facilities/x-ray-crystallography.html,http://www.artsci.uc.edu/departments/chemistry/core-facilities/x-ray-crystallography.html,,Jeanette.Krause@uc.edu,Jeanette.Krause@uc.edu
https://ucdirectory.uc.edu/AZ_Index.asp?mode=A&listnumber=10066-008,Waddell Center for Multiple Sclerosis (Neurology)(MED),513-475-8775,538,2300,STETSON,513-475-7839,http://www.med.uc.edu/neurology/specialties/overview/ms.aspx,,, ,,0,Waddell Center for Multiple Sclerosis (Neurology)(MED),, ,513-475-8775,,538,538,,2300,2300,,STETSON,STETSON,,TRUE,,513-475-7839,513-475-7839,,http://www.med.uc.edu/neurology/specialties/overview/ms.aspx,http://www.med.uc.edu/neurology/specialties/overview/ms.aspx,,0,
